institution_id,institution_id,person_id,project_count
10110.0,10110.0,139345131,2
10110.0,10110.0,1640445,2
10110.0,10110.0,16501779,2
10110.0,10110.0,1453991,3
10110.0,10110.0,1108865,3
10110.0,10110.0,43556925,3
10110.0,10110.0,1845163,3
10110.0,10110.0,1827849,3
10110.0,10110.0,23141188,4
10111.0,10111.0,1447977,2
10111.0,10111.0,1549731,2
10111.0,10111.0,5417,2
10111.0,10111.0,1015320,3
10111.0,10111.0,988719,3
10111.0,10111.0,1352092,4
10111.0,10111.0,1087854,4
10111.0,10111.0,1142921,5
10111.0,10111.0,1015342,5
10111.0,10111.0,69588680,6
10113.0,10113.0,1538776,12
10113.0,10113.0,1231427,12
10113.0,10113.0,1323356,12
10113.0,10113.0,27256287,12
10113.0,10113.0,1235399,13
10113.0,10113.0,1251096,13
10113.0,10113.0,1305084,14
10113.0,10113.0,1248454,16
10113.0,10113.0,1125928,19
10113.0,10113.0,1635644,22
10115.0,10115.0,1487733,22
10115.0,10115.0,1281305,22
10115.0,10115.0,1245105,22
10115.0,10115.0,1428487,26
10115.0,10115.0,5393,27
10115.0,10115.0,1415436,27
10115.0,10115.0,1096951,32
10115.0,10115.0,1729443,32
10115.0,10115.0,1441808,38
10115.0,10115.0,1791985,47
10117.0,10117.0,1755629,14
10117.0,10117.0,1078195,14
10117.0,10117.0,6338,15
10117.0,10117.0,1631509,16
10117.0,10117.0,1240068,16
10117.0,10117.0,1719876,18
10117.0,10117.0,1070403,19
10117.0,10117.0,1337762,20
10117.0,10117.0,995167,22
10117.0,10117.0,1464250,27
10119.0,10119.0,1654056,4
10119.0,10119.0,1556034,4
10119.0,10119.0,1441907,4
10119.0,10119.0,1727145,4
10119.0,10119.0,1741053,5
10119.0,10119.0,1160433,5
10119.0,10119.0,1363813,6
10119.0,10119.0,1631151,8
10119.0,10119.0,1642512,8
10119.0,10119.0,1379257,15
10121.0,10121.0,1099113,18
10121.0,10121.0,1094296,18
10121.0,10121.0,1017304,18
10121.0,10121.0,1452190,19
10121.0,10121.0,1344485,19
10121.0,10121.0,1638967,19
10121.0,10121.0,1248116,20
10121.0,10121.0,1025414,23
10121.0,10121.0,1113595,25
10121.0,10121.0,1042934,26
10123.0,10123.0,1396699,9
10123.0,10123.0,1169253,10
10123.0,10123.0,1374705,11
10123.0,10123.0,1294508,12
10123.0,10123.0,1439358,12
10123.0,10123.0,1108360,12
10123.0,10123.0,1473809,14
10123.0,10123.0,1849304,17
10123.0,10123.0,1088289,18
10123.0,10123.0,1798398,20
10125.0,10125.0,1684920,14
10125.0,10125.0,1717539,14
10125.0,10125.0,1684947,14
10125.0,10125.0,1748798,16
10125.0,10125.0,1629391,16
10125.0,10125.0,1635372,16
10125.0,10125.0,5784,17
10125.0,10125.0,993962,19
10125.0,10125.0,5374,20
10125.0,10125.0,1053802,24
10128.0,10128.0,1090865,4
10128.0,10128.0,1743236,5
10128.0,10128.0,1458199,5
10128.0,10128.0,1466139,5
10128.0,10128.0,1043024,5
10128.0,10128.0,1566312,6
10128.0,10128.0,1764420,7
10128.0,10128.0,1036130,7
10128.0,10128.0,1640643,8
10128.0,10128.0,1786768,18
10130.0,10130.0,244255388,1
10130.0,10130.0,191672046,1
10130.0,10130.0,1641012,1
10130.0,10130.0,1282419,1
10130.0,10130.0,1719664,2
10130.0,10130.0,41304607,3
10130.0,10130.0,1656904,3
10130.0,10130.0,1578845,4
10131.0,10131.0,1651734,1
10131.0,10131.0,1396053,1
10131.0,10131.0,1789776,2
10132.0,10132.0,232330418,1
10133.0,10133.0,235837827,1
10133.0,10133.0,243254050,1
10133.0,10133.0,314152388,1
10133.0,10133.0,385235854,1
10133.0,10133.0,33197015,2
10133.0,10133.0,170959381,2
10134.0,10134.0,1799935,1
10134.0,10134.0,239957869,1
10134.0,10134.0,210467644,1
10134.0,10134.0,58283569,2
10134.0,10134.0,30449834,5
10135.0,10135.0,9580151,1
10135.0,10135.0,1688925,1
10135.0,10135.0,1745270,2
10137.0,10137.0,1700944,1
10137.0,10137.0,1215343,1
10138.0,10138.0,1873579,2
10138.0,10138.0,1826625,2
10138.0,10138.0,1737982,2
10138.0,10138.0,1716398,2
10138.0,10138.0,1238831,2
10138.0,10138.0,1516679,3
10138.0,10138.0,1396905,3
10138.0,10138.0,192341968,3
10138.0,10138.0,1455387,10
10138.0,10138.0,1441164,15
10140.0,10140.0,1868253,1
10140.0,10140.0,1868494,1
10140.0,10140.0,1644544,1
10140.0,10140.0,1489471,1
10140.0,10140.0,1107209,1
10140.0,10140.0,1504277,2
10140.0,10140.0,1906497,3
10140.0,10140.0,28731037,3
10141.0,10141.0,1768921,2
10141.0,10141.0,1075964,2
10141.0,10141.0,232927218,3
10141.0,10141.0,225776360,3
10141.0,10141.0,1064913,4
10141.0,10141.0,1169727,4
10141.0,10141.0,1190481,4
10141.0,10141.0,92218671,5
10141.0,10141.0,6087,5
10141.0,10141.0,1367119,9
10142.0,10142.0,195550587,2
10142.0,10142.0,1831058,2
10142.0,10142.0,1727925,2
10142.0,10142.0,1190780,2
10142.0,10142.0,1067184,2
10142.0,10142.0,286006203,2
10142.0,10142.0,126975250,2
10142.0,10142.0,1008769,3
10142.0,10142.0,1683573,3
10142.0,10142.0,1400716,5
10143.0,10143.0,222123161,1
10143.0,10143.0,197930519,1
10143.0,10143.0,75855866,1
10143.0,10143.0,1847422,1
10143.0,10143.0,1635789,1
10143.0,10143.0,1761826,2
10143.0,10143.0,1787661,2
10143.0,10143.0,1440705,2
10143.0,10143.0,1285106,2
10143.0,10143.0,1424746,8
10146.0,10146.0,1617920,1
10146.0,10146.0,1572207,1
10146.0,10146.0,1400178,1
10146.0,10146.0,1398944,1
10146.0,10146.0,1400327,2
10146.0,10146.0,1429065,2
10146.0,10146.0,1615019,2
10146.0,10146.0,1816224,2
10146.0,10146.0,1433715,4
10146.0,10146.0,1195337,18
10147.0,10147.0,1726004,1
10147.0,10147.0,1761581,4
10153.0,10153.0,335775321,1
10153.0,10153.0,283791838,1
10153.0,10153.0,215803107,1
10153.0,10153.0,198978989,1
10153.0,10153.0,62400385,1
10153.0,10153.0,1225200,2
10153.0,10153.0,1360781,5
10154.0,10154.0,108278441,4
10155.0,10155.0,29407565,1
10155.0,10155.0,388188945,2
10155.0,10155.0,6005,3
10156.0,10156.0,1729891,1
10161.0,10161.0,274038740,1
10161.0,10161.0,1129832,2
10161.0,10161.0,1831043,2
10161.0,10161.0,220499714,2
