,institution_id,person_id,project_count,person_gender_index,name,first_name,gender
198,10085,5207,6,0.0,professor dr. heinrich betz,heinrich,M
199,10085,1419839,7,0.3958333333333333,professorin dr. ilme schlichting,ilme,F
200,10085,1536620,7,0.0875,professor dr. joachim p. spatz,p.,
201,10086,1048688,3,,professor dr. heinz faulstich,heinz,M
202,10087,1546436,3,0.08333333333333333,professor dr. jürgen weis,jürgen,
203,10087,1286958,3,0.0,professor dr. ulrich starke,ulrich,M
204,10087,59512696,4,,dr. hagen klauk,hagen,M
205,10087,1820174,4,,dr. christian reinhard ast,reinhard,M
206,10087,1679282,4,0.1111111111111111,professor dr. bernhard keimer,bernhard,M
207,10087,1669369,4,,dr. jurgen h. smet,h.,
208,10087,1451441,5,0.0,professor dr. peter a. van aken,van,?
209,10087,1659417,5,0.0,professor dr. jochen mannhart,jochen,M
210,10087,1572008,5,,dr. marko klaus burghard,klaus,M
211,10087,1129796,7,0.0625,professor dr. klaus kern,klaus,M
212,10088,1384366,2,,privatdozent dr. günter majer,günter,
213,10088,1023476,2,,professor dr. heinz dieter carstanjen,dieter,M
214,10088,1360713,2,0.3333333333333333,professorin dr. gisela schütz-gmeineder,gisela,F
215,10088,1242241,3,,professor dr. manfred rühle,manfred,M
216,10088,1049185,3,,professor dr. manfred fähnle,manfred,M
217,10088,1032600,3,0.0,professor dr. siegfried dietrich,siegfried,M
218,10088,1401110,3,0.0,dr. günter schäfer,günter,
219,10088,1280429,6,0.0,dr. wilfried sigle,wilfried,M
220,10088,1968542,6,0.0575,professor dr. bernhard schölkopf,bernhard,M
221,10088,988383,12,0.0,professor dr. fritz aldinger,fritz,M
222,10091,174984602,1,0.2,dr. rolf pohmann,rolf,M
223,10091,87631766,1,0.0,dr. tobias meilinger,tobias,M
224,10091,32827499,1,,dr. sven gottschalk,sven,M
225,10091,21584213,1,0.0,professor dr. matthias franz,matthias,M
226,10091,17589209,1,,dr. verena pawlak,verena,F
227,10091,1874989,1,,dr. julia vogel,julia,F
228,10091,46997872,2,,privatdozent dr. goran angelovski,goran,M
229,10091,1602794,3,0.1875,professor dr. nikos k. logothetis,k.,
230,10091,1427020,6,0.1775,professor dr. heinrich h. bülthoff,h.,
231,10091,1077076,16,0.1346153846153846,professor dr. wolfgang grodd,wolfgang,M
232,10092,6080,1,0.5,professorin dr. christiane nüsslein-volhard,christiane,F
233,10092,163364623,1,,dr. katharina hipp,katharina,F
234,10092,200841077,1,0.0,dr. birte hernandez alvarez,hernandez,M
235,10092,39952542,1,,dr. oliver weichenrieder,oliver,M
236,10092,1829039,2,0.0,professor dr. andrei n. lupas,n.,
237,10092,178871250,3,0.2857142857142857,dr. fulvia bono,fulvia,F
238,10092,1463672,3,0.4,professor dr. ralf j. sommer,j.,
239,10092,13676480,3,,dr. martin bayer,martin,M
240,10092,1699943,5,0.0,professor dr. detlef weigel,detlef,M
241,10092,1012620,7,,professor dr. volkmar braun,volkmar,M
242,10095,1289321,1,0.0,professor dr. hartwig steusloff,hartwig,M
243,10095,1394775,1,,dr.-ing. detlef paul,detlef,M
244,10095,1414072,4,0.0,professor dr.-ing. jürgen beyerer,jürgen,
245,10096,1870236,1,0.0,"dr. vadim lebedev, ph.d.","lebedev,",
246,10096,191681144,1,0.0,dr. arnulf leuther,arnulf,M
247,10096,24532535,3,0.0,privatdozent dr.-ing. volker cimalla,volker,M
248,10096,1521858,3,0.0,professor dr.-ing. christoph e. nebel,e.,
249,10097,1729187,6,,professor dr. marc kachelrieß,marc,M
250,10097,59450557,6,0.35416666666666663,professor dr. andreas fischer,andreas,M
251,10097,1076426,7,0.12321428571428572,professor dr. hermann-josef gröne,hermann-josef,
252,10097,988690,7,0.2137254901960784,professor dr. peter angel,peter,M
253,10097,1239297,7,0.0,professor dr. hans-reimer rodewald,hans-reimer,
254,10097,1433120,7,0.4444444444444444,professor dr. hermann brenner,hermann,M
255,10097,122185802,7,,"dr. valery grinevich, ph.d.","grinevich,",
256,10097,1267788,8,0.21031746031746032,professor dr. günther schütz,günther,
257,10097,1074890,9,0.675,professorin dr. ingrid grummt,ingrid,F
258,10097,1704450,9,0.1761904761904762,professor dr. mark e. ladd,e.,
259,10099,265545010,1,,dr. catherine fischer,catherine,F
260,10099,249089014,1,,dr. juan manuel borrero,manuel,M
261,10099,211197784,1,0.0,dr. reza rezaei,reza,M
262,10099,1609784,1,,professor dr. oskar von der lühe,der,F
263,10099,1537515,1,,dr. oskar steiner,oskar,M
264,10099,1838248,2,,professor dr. markus roth,markus,M
265,10099,1622834,2,,dr. rolf schlichenmaier,rolf,M
266,10099,1290957,3,,professor dr. michael stix,michael,M
267,10099,1394115,6,0.0,professor dr. wolfgang schmidt,wolfgang,M
268,10100,208129939,2,0.2698412698412698,professor dr. theodore alexandrov,theodore,?
269,10100,116325540,2,,dr. christian h. häring,h.,
270,10100,1348967,2,,professor dr. iain w. mattaj,w.,
271,10100,1443707,3,,dr. j.k. heinrich hörber,heinrich,M
272,10100,1011382,3,0.35,privatdozent dr. peer bork,peer,M
273,10100,1824062,5,0.0,professor dr. detlev arendt,detlev,M
274,10100,1714118,5,0.0,dr. jan ellenberg,jan,M
275,10100,1725354,5,0.3928571428571429,"dr. anne ephrussi, ph.d.","ephrussi,",
276,10100,1097606,8,0.0,professor dr. matthias hentze,matthias,M
277,10100,1272138,8,0.0,privatdozent dr. carsten schultz,carsten,M
278,10101,267437029,1,,dr. annelen brunner,annelen,F
279,10101,195638442,1,,dr. annette klosa,annette,F
280,10101,109075857,1,0.0,dr. martin hartung,martin,M
281,10101,1648354,1,0.0,professor dr. arnulf deppermann,arnulf,M
282,10101,1088125,1,,professorin dr. gisela harras,gisela,F
283,10101,1053311,2,0.6666666666666666,professor dr. reinhard fiehler,reinhard,M
284,10101,80709198,3,,dr. thomas schmidt,thomas,M
285,10101,1658376,3,,professorin dr. heidrun kämper,heidrun,F
286,10101,1124900,4,0.5833333333333333,professor dr. werner kallmeyer,werner,M
287,10101,1042889,5,,professor dr. ludwig eichinger,ludwig,M
288,10102,1099411,1,,dr. wolfram an der heiden,der,F
289,10102,1708214,2,,professor dr. cornelius rainer pawlak,rainer,M
290,10102,1543734,2,0.6666666666666666,professorin dr. barbara vollmayr,barbara,F
291,10102,1436011,2,,professor dr. frank hentschel,frank,M
292,10102,1087234,2,,professor dr. heinz häfner,heinz,M
293,10102,1417425,3,0.16666666666666666,professor dr. josef bailer,josef,M
294,10102,1751082,4,0.2222222222222222,professor dr. dusan bartsch,dusan,M
295,10102,1386365,4,0.0,professor dr. patrick schloss,patrick,M
296,10102,1143586,5,0.3333333333333333,privatdozent dr. georg köhr,georg,M
297,10102,1430550,9,0.3571428571428571,professor dr. peter gass,peter,M
298,10106,224922972,1,0.0,dr. martin maier,martin,M
299,10106,1633320,1,,dr. berthold metzler,berthold,M
300,10106,1590062,1,,dr. eberhard aldinger,eberhard,M
301,10106,1142737,1,,professor dr. ulrich kohnle,ulrich,M
302,10106,76510249,3,0.31666666666666665,dr. heike puhlmann,heike,F
303,10107,283963776,1,,dr.-ing. mohammed alomari,mohammed,?
304,10107,1981014,2,,professor dr.-ing. joachim n. burghartz,n.,
305,10108,1123263,17,0.43095238095238103,professorin dr. kirsten jung,kirsten,F
306,10108,1774982,17,0.4902046783625731,professor dr. karl-peter hopfner,karl-peter,
307,10108,1799519,18,0.0968253968253968,professor dr. immanuel bloch,immanuel,M
308,10108,1467289,18,0.08333333333333333,professor dr. valerian bachtadse,valerian,M
309,10108,1260086,19,0.04,professor dr. wolfgang w. schmahl,w.,
310,10108,1229424,19,1.0,professorin dr. susanne sabine renner,sabine,F
311,10108,1033332,20,0.14814814814814814,professor dr. donald bruce dingwell,bruce,M
312,10108,1039762,21,0.0,professor dr. hubert ebert,hubert,M
313,10108,1396232,21,0.16973684210526316,professor dr. roland beckmann,roland,M
314,10108,1195719,22,0.1949165901178285,professor dr. hermann j. müller,j.,
315,10110,159808660,2,,dr. martin ernst maier,ernst,M
316,10110,139345131,2,,professor dr. klaus-dieter altmeppen,klaus-dieter,
317,10110,1640445,2,0.8571428571428571,professorin dr. katja seitz-stein,katja,F
318,10110,16501779,2,1.0,professorin dr. sabine ullmann,sabine,F
319,10110,1453991,3,0.4166666666666666,professorin dr. elisabeth kals,elisabeth,F
320,10110,1108865,3,0.0,professor dr. hans hopfinger,hans,M
321,10110,43556925,3,,professor dr. rudolf kilian weigand,kilian,M
322,10110,1845163,3,0.0,professor dr. nils michael blümer,michael,M
