,person_id,name,first_name,gender
176,1745574,dr. johanna schulenburg,johanna,F
177,1461312,dr. reinhard wanner,reinhard,M
178,1819170,professor dr. huige li,huige,
179,1780902,professorin dr. waltraud schulze,waltraud,F
180,1108837,professor dr. rudolf holze,rudolf,M
181,258691,professor dr. hans werner schürmann,werner,M
182,1192938,professor dr. wolfgang friedrich müller,friedrich,M
183,1555623,professorin dr. bettina erika schmidt,erika,F
184,1442262,professor dr. detlef neumann,detlef,M
185,1709759,"privatdozent dr. bernd giebel, ph.d.","giebel,",
186,249366858,dr. timo brockmeyer,timo,M
187,1169727,dr. friedrich lottspeich,friedrich,M
188,1625991,dr. maria alessandra papa,alessandra,F
189,75609897,professorin dr. nicole ernstmann,nicole,F
190,74093672,professor dr. robert b. russell,b.,
191,110038637,professorin dr. bettina löffler,bettina,F
192,1613246,professor dr. frank lyko,frank,M
193,43885450,professorin dr. sandra pott,sandra,F
194,1211326,professor dr. ralf paus,ralf,M
195,2011527,professor dr. bengt gustafsson,bengt,M
196,260043649,dr.-ing. oleg mokrov,oleg,M
197,1022617,professor dr. manfred buck,manfred,M
198,42369766,professor dr. denis scholz,denis,M
199,40833401,dr. ingo wardinski,ingo,M
200,272002879,dr. guillermo hugo jimenez-aleman,hugo,M
201,241279974,professor mingzhong wu,mingzhong,
202,1708934,professor dr. jens-uwe voigt,jens-uwe,
203,1703734,professor dr. johannes-dieter steinert,johannes-dieter,
204,29384770,privatdozent dr. matthias sausbier,matthias,M
205,81467198,dr. andrea rothmeier,andrea,F
206,1658676,professor dr. ralf büttner,ralf,M
207,6145,professor dr.-ing. erich j. plate,j.,
208,1779011,dr. frank stein,frank,M
209,259411348,dr. andrew duff,andrew,?
210,178023012,professor dr. frank ortmeier,frank,M
211,158990612,dr. peter beim graben,beim,
212,260498368,professor dr. martin eckstein,martin,M
213,324766910,dr. igor vladymyrskyi,igor,M
214,1507969,professor dr. karl markus kreis,markus,M
215,1212773,professor dr. alfons penzkofer,alfons,M
216,1318759,professor dr. udo wendel,udo,M
217,1127201,professor dr. franz-josef kaup,franz-josef,
218,41939771,dr. clemens vollnhals,clemens,M
219,52670587,professorin dr. katharina billups,katharina,F
220,1446188,professor dr. werner müller,werner,M
221,189453750,dr. marlen bernhardt,marlen,M
222,1752738,professor dr. dirk bucher,dirk,M
223,1781570,sascha beuermann,sascha,M
224,1672068,professor dr. werner schneider,werner,M
225,82122515,dr. martin lenard lachenmayer,lenard,M
226,258894188,dr. roy kirsch,roy,M
227,1420790,dr.-ing. martin burghoff,martin,M
228,1231090,professor dr. günter reiße,günter,
229,1691648,privatdozentin dr. verena nordhoff,verena,F
230,1696586,professor dr. carsten g. ullrich,g.,
231,1207027,professor dr.-ing. joachim ohser,joachim,M
232,190451618,professor dr. klaus-uwe hahn,klaus-uwe,
